Ian Kaiserman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Category,,,,,Data,,Role,,,Pattern,,,Concern,,,Difficulty,,,Risk,,,Confidence,,,,Related Elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,missile,x,,,,,x,x,,,x,x,,,x,,,,x,,,,x,,x,,,jet engine,targeting system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,sensor fusion,,,,x,,x,x,,x,,,,x,x,,,,x,,,x,,x,,,,uncertainty reduciton,direct/indirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"sensor, acoustic",x,,,,,x,,x,x,,,,x,,x,,,,x,,,x,x,,,,sound waves,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"sensor, active",x,,,,,x,,x,x,x,,,x,,x,,,,x,x,,,x,,,,radar,3D mapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"sensor, passive",x,,,,,x,,x,,,x,,,x,,,,x,,x,,,x,,,,microwaves,power emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"sensor, radar",x,,,,,x,,x,,,x,,,x,,,,,x,,x,,,x,,,electromagnetic,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"sensor, sonar",x,,,,,,x,x,,,,,x,,x,,,x,,,x,,,x,,,sound propagation,ultrasonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"sensor, thermal",x,,,,,x,,x,,,x,,,x,,,x,,,,x,,,,x,,contact/non-contact,infrared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,shell,x,,,,,x,,,,x,,x,,x,,,,,x,,,x,,x,,,explosives,mortars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,submarine,x,,,,,,x,,x,,,x,,,,x,,x,,,,x,x,,,,nuclear power,naval warfare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,torpedo,x,,,,,,x,,,x,x,,,x,,,,x,,,x,,,x,,,wake homing,kill box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,${field},A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,${count},22,0,0,4,0,15,14,15,5,7,14,6,4,9,6,9,7,11,6,3,11,10,11,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
